Word		Original_feature		Predicted_feature
صدر		n		n
تلگودیشم		n		n
مسٹر		avy		avy
این		n		n
چندرا		n		n
بابو		n		n
نائیڈو		n		n
نے		psp		psp
کڑپہ		n		n
کے		psp		psp
ضمنی		adj		adj
انتخابات		n		n
مےں		psp		psp
اضافی		adj		adj
فورسیس		n		n
کی		psp		psp
تعیناتی		n		n
کا		psp		psp
مطالبہ		n		n
کرتے		v		v
ہوئے		v		v
چیف		n		n
الیکشن		n		n
کمشنر		n		n
کو		psp		psp
مکتوب		n		n
روانہ		adj		adj
کیا		v		v
۔		punc		punc
انہوں		n		pn
نے		psp		psp
کڑپہ		n		n
کے		psp		psp
پارلیمانی		adj		n
اور		avy		avy
پولی		n		adj
ویندلہ		n		n
کے		psp		psp
اسمبلی		adj		adj
انتخابات		n		n
کو		psp		psp
صاف		adj		adj
و		avy		avy
شفاف		adj		adj
بنانے		v		v
کے		psp		psp
لئے		psp		psp
زائد		adj		adj
پولیس		n		n
فورس		n		n
تعینات		n		n
کرنے		v		v
کا		psp		psp
مطالبہ		n		n
کرتے		v		v
ہوئے		v		v
کہا		v		v
کہ		avy		avy
ان		pn		pn
انتخابات		n		n
مےں		psp		psp
غیرسماجی		adj		adj
عناصر		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
بدامنی		n		n
پھیلائے		v		v
جانے		v		v
کا		psp		psp
خدشہ		n		n
ہے		v		v
۔		punc		punc
مسٹر		avy		avy
نائیڈو		n		n
نے		psp		psp
اپنے		pn		pn
مکتوب		n		n
مےں		psp		psp
چیف		n		n
الیکشن		n		n
کمشنر		n		n
سے		psp		psp
NULL		unk		unk
خواہش		n		n
کی		v		v
کہ		avy		avy
وہ		pn		pn
ہر		adj		adj
حلقہ		n		n
اسمبلی		n		n
مےں		psp		psp
علحدہ		adj		adj
علحدہ		adj		adj
فورس		n		n
کی		psp		psp
تعیناتی		n		n
کو		psp		psp
یقینی		adj		adj
بنانے		v		v
کے		psp		psp
اقدامات		n		n
کریں		v		v
تاکہ		avy		avy
آزادانہ		adj		adj
و		avy		avy
منصفانہ		adj		adj
انتخابات		n		n
کو		psp		psp
یقینی		adj		adj
بنایا		v		v
جا		v		v
سکے		v		v
۔		punc		punc
NULL		adj		unk
واضح		adj		adj
رہے		v		v
کہ		avy		avy
گزشتہ		adj		adj
یوم		n		n
مسٹر		avy		avy
نائیڈو		n		n
پر		psp		psp
ضلع		n		n
کڑپہ		n		n
مےں		psp		psp
ہوئے		v		v
حملہ		n		n
کے		psp		psp
بعد		nst		nst
مسٹر		avy		avy
نائیڈو		n		n
نے		psp		psp
اس		pn		pn
طرح		n		n
کے		psp		psp
واقعات		n		n
کا		psp		psp
حوالہ		n		n
دیتے		v		v
ہوئے		v		v
کہا		v		v
کہ		avy		avy
ضلع		n		n
کڑپہ		n		n
مےں		psp		psp
گروہ_واری		adj		n
عناصر		n		n
انتخابات		n		n
مےں		psp		psp
دھاندلیوں		n		n
کی		psp		psp
منصوبہ_بندی		n		n
کر		v		v
رہے		v		v
ہیں		v		v
۔		punc		punc
انہوں		pn		pn
نے		psp		psp
بتایا		v		v
کہ		avy		avy
جمہوریت		n		n
کی		psp		psp
بقاء		n		n
کے		psp		psp
لئے		psp		psp
یہ		pn		pn
ضروری		adj		adj
ہے		v		v
کہ		avy		avy
چیف		n		n
الیکشن		n		n
کمشنر		n		n
کی		psp		psp
جانب		n		nst
سے		psp		psp
ان		pn		pn
انتخابات		n		n
کی		psp		psp
راست		adj		adj
نگرانی		n		n
اور		avy		avy
غنڈہ		adj		n
عناصر		n		n
پر		psp		psp
کنٹرول		n		n
کے		psp		psp
لئے		psp		psp
سخت_ترین		adj		adj
انتظامات		n		n
کئے		v		v
جائیں		v		v
۔		punc		punc
مسٹر		avy		avy
نائیڈو		n		n
نے		psp		psp
سی		n		n
ای		n		n
سی		n		n
کو		psp		psp
روانہ_کردہ		adj		adj
مکتوب		n		n
مےں		psp		psp
اس		pn		pn
بات		n		n
کی		psp		psp
طرف		nst		nst
بھی		avy		avy
اشارہ		n		n
کیا		v		v
کہ		avy		avy
علاقے		n		n
مےں		psp		psp
وائی		n		n
ایس		n		n
جگن		n		n
موہن		n		n
ریڈی		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
بدعنوانیوں		n		n
و		avy		avy
بےقاعدگیوں		n		n
کے		psp		psp
ذریعہ		n		psp
حاصل_کردہ		adj		adj
دولت		n		n
کے		psp		psp
استعمال		n		n
کے		psp		psp
ذریعہ		n		psp
رائےدہندوں		n		n
کو		psp		psp
راغب		adj		adj
کرنے		v		v
کی		psp		psp
کوشش		n		n
کی		v		v
جا		v		v
رہی		v		v
ہے		v		v
جو		pn		pn
کہ		avy		avy
انتخابی		adj		adj
ضابطہ		n		n
اخلاق		n		n
کی		psp		psp
سنگین		adj		n
خلاف_ورزی		n		n
ہے		v		v
-		punc		punc
اےک		num		num
شخص		n		n
نے		psp		psp
مبینہ		adj		adj
طور		n		n
پر		psp		psp
اپنی		pn		pn
منگیتر		n		n
اور		avy		avy
اس		pn		pn
کے		psp		psp
والدین		n		n
پر		psp		psp
چاقو		n		n
سے		psp		psp
حملہ		n		n
کر		v		v
کے		psp		v
زخمی		adj		n
کر		v		v
دیا		v		v
۔		punc		punc
پولیس		n		n
نے		psp		psp
بتایا		v		v
کہ		avy		avy
نوجوان		adj		adj
لڑکی		n		n
کی		psp		psp
پاک_دامنی		n		n
پر		psp		psp
شبہ		n		n
کرتے		v		v
ہوئے		v		v
حملہ		n		n
کیا		v		v
۔		punc		punc
ڈی		n		n
بھارت		n		n
کرشنا		n		n
خانگی		adj		adj
ملازم		n		n
جو		pn		pn
24		num		num
سالہ		adj		adj
خاتون		n		n
فروین		n		n
صنم		n		n
متعلم		adj		adj
ایم		n		n
کام		n		n
سے		psp		psp
عشق		n		n
کرتا		v		v
تھا		v		v
۔		punc		punc
دونوں		n		num
کے		psp		psp
ارکان		n		n
خاندان		n		n
ان		pn		pn
کی		psp		psp
اس		pn		pn
سال		n		n
فبروری		n		n
مےں		psp		psp
منگنی		n		adj
کرنے		v		v
کے		psp		psp
بعد		nst		nst
شادی		n		n
سے		psp		psp
اتفاق		n		n
کیا		v		v
تھا		v		v
اور		avy		avy
21		n		n
مئی		n		n
کو		psp		psp
شادی		n		n
مقرر		adj		adj
تھی		v		v
۔		punc		punc
تاہم		avy		avy
بھارت		n		n
کرشنا		n		n
کو		psp		psp
اپنی		pn		pn
منگیتر		n		n
کے		psp		psp
چال		n		n
و		avy		avy
چلن		n		n
پر		psp		psp
شبہ		n		n
ہوا		v		v
اور		avy		avy
الزام		n		n
عائد		adj		adj
کیا		v		v
کہ		avy		avy
وہ		pn		pn
کسی		pn		pn
اور		adj		avy
شخص		n		n
کے		psp		psp
ساتھ		nst		nst
تعلقات		n		n
رکھتی		v		v
ہے		v		v
۔		punc		punc
آج		n		n
شام		n		n
وہ		pn		pn
اپنی		pn		pn
منگیتر		n		n
کے		psp		psp
گھر		n		n
گیا		v		v
اور		avy		avy
بحث		n		n
کرتے		v		v
ہوئے		v		v
اس		pn		pn
شخص		n		n
کا		psp		psp
نام		n		n
ظاہر		adj		adj
کرنے		v		v
کا		psp		psp
مطالبہ		n		n
کیا		v		v
اور		avy		avy
کہا		v		v
کہ		avy		avy
اس		pn		pn
کے		psp		psp
ساتھ		nst		nst
ابھی		pn		pn
چل		v		v
کر		v		v
شادی		n		n
کر		v		v
لے		v		v
لیکن		avy		avy
خاتون		n		n
نے		psp		psp
انکار		n		n
کیا		v		v
اور		avy		avy
چیخ		n		n
و		avy		avy
پکار		n		n
سن		v		n
کر		v		v
لڑکی		n		n
کے		psp		psp
والدین		n		n
اور		avy		avy
دیگر		adj		adj
ارکان		n		n
پہنچ		v		v
گئے		v		v
NULL		unk		unk
جس		pn		pn
پر		psp		psp
برہم		adj		adj
بھارت		n		n
نے		psp		psp
لڑکی		n		n
اور		avy		avy
اس		pn		pn
کے		psp		psp
والدین		n		n
پر		psp		psp
چاقو		n		n
سے		psp		psp
حملہ		n		n
کیا		v		v
۔		punc		punc
لڑکی		n		n
کے		psp		psp
گردن		n		n
اور		avy		avy
ہاتھ		n		n
پر		psp		psp
شدید		adj		adj
زخم		n		n
آئے		v		v
۔		punc		punc
والدین		n		n
معمولی		adj		adj
زخمی		n		n
ہوئے		v		v
ہےں		v		v
۔		punc		punc
آندھراپردیش		n		n
ہائیکورٹ		n		n
نے		psp		psp
قبرستان		n		n
چوکھنڈی		n		n
،		punc		punc
شیخ		n		n
پیٹ		n		n
کی		psp		psp
موجودہ		adj		adj
حالت		n		n
کے		psp		psp
تعلق		n		n
سے		psp		psp
اےک		num		num
رپورٹ		n		n
پیش		nst		nst
کرنے		v		v
کی		psp		psp
سکریٹری		n		n
محکمہ		n		n
اقلیتی		n		n
بہبود		n		n
،		punc		punc
اسپیشل		n		n
آفیسر		n		n
مجلس		n		n
بلدیہ		n		n
عظیم_تر		n		n
حیدرآباد		n		n
،		punc		punc
چیف		n		n
ایگزیکیٹیو		n		n
آفیسر		n		n
اے		n		n
پی		n		n
اسٹیٹ		n		n
وقف		n		n
بورڈ		n		n
اور		avy		avy
کمشنر		n		n
پولیس		n		n
حیدرآباد		n		n
کو		psp		psp
ہدایت		n		n
دی		v		v
ہے		v		v
NULL		unk		unk
اس		pn		pn
کے		psp		psp
علاوہ		psp		psp
انہیں		pn		pn
یہ		pn		pn
بھی		avy		avy
ہدایت		n		n
دی		v		v
گئی		v		v
ہے		v		v
کہ		avy		avy
وہ		pn		pn
قبرستان		n		n
چوکھنڈی		n		n
مےں		psp		psp
جوں		adv		psp
کا		avy		psp
توں		adv		avy
موقف		n		n
برقرار		adj		adj
رکھنے		v		v
کے		psp		psp
تعلق		n		n
سے		psp		psp
عدالت		n		n
کے		psp		psp
احکام		n		n
کی		psp		psp
پابندی		n		n
کو		psp		psp
یقینی		adj		adj
بنائیں		v		v
۔		punc		punc
چیف		n		n
جسٹس		n		n
مسٹر		avy		avy
جسٹس		n		n
نثار		n		n
احمد		n		n
کاکرو		n		n
اور		avy		avy
جسٹس		n		n
وی		n		n
وی		n		n
افضل		n		n
پورکر		n		n
پر		psp		psp
مشتمل		adj		adj
بنچ		n		n
نے		psp		psp
یہ		pn		pn
ہدایت		n		n
جاری		adj		adj
کی		v		v
۔		punc		punc
تفصیلات		n		n
کے		psp		psp
بموجب		psp		psp
درخواست_گذار		n		n
و		avy		avy
صدر		n		n
وقف		n		n
پراپرٹیز		n		n
پروٹیکشن		n		n
سوسائیٹی		n		n
جناب		avy		avy
عثمان		n		n
بن		n		n
محمد		n		n
الہاجری		n		n
نے		psp		psp
قبرستان		n		n
چوکھنڈی		n		n
شیخ_پیٹ		n		n
کی		psp		psp
بانڈری		n		n
و		avy		avy
قبور		n		n
کو		psp		psp
مسمار		adj		adj
کرتے		v		v
ہوئے		v		v
سڑک		n		n
کی		psp		psp
تعمیر		n		n
کے		psp		psp
خلاف		adj		adj
عدالت		n		n
کا		psp		psp
دروازہ		n		n
کھٹکھٹایا		v		v
تھا		v		v
NULL		unk		unk
جس		pn		pn
پر		psp		psp
عدالت		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
یہاں		pn		pn
جوں		adv		n
کا		avy		psp
توں		adv		avy
موقف		n		n
برقرار		adj		adj
رکھنے		v		v
کی		psp		psp
ہدایت		n		n
جاری		adj		adj
کی		v		v
گئی		v		v
تھی		v		v
۔		punc		punc
عدالت		n		n
کی		psp		psp
ہدایت		n		n
کے		psp		psp
باوجود		psp		psp
یہاں		pn		pn
بلدیہ		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
سوچے		v		n
سمجھے		v		v
منصوبہ		n		n
کے		psp		psp
تحت		psp		psp
مذکورہ		adj		adj
سڑک		n		n
کی		psp		psp
تعمیر		n		n
کا		psp		psp
کام		n		n
جاری		adj		adj
رکھا		v		v
گیا		v		v
تھا		v		v
۔		punc		punc
رات		n		n
مےں		psp		psp
بھی		avy		avy
تعمیری		adj		adj
کام		n		n
جاری		adj		adj
رکھا		v		v
گیا		v		v
اور		avy		avy
راستہ		n		n
کو		psp		psp
عوام		n		n
کے		psp		psp
لئے		psp		psp
کھولنے		v		v
کی		psp		psp
کوشش		n		n
کی		v		v
گئی		v		v
تھی		v		v
۔		punc		punc
اس		pn		pn
پر		psp		psp
عثمان		n		n
بن		n		n
محمد		n		n
الہاجری		n		n
نے		psp		psp
اےک		num		num
درخواست		n		n
ہائیکورٹ		n		n
مےں		psp		psp
داخل		n		n
کرتے		v		v
ہوئے		v		v
استدعا		n		n
کی		v		v
تھی		v		v
کہ		avy		avy
مذکورہ		adj		adj
قبرستان		n		n
کی		psp		psp
حصاربندی		n		n
کرتے		v		v
ہوئے		v		v
اس		pn		pn
کے		psp		psp
تقدس		n		n
کا		psp		psp
تحفظ		n		n
کیا		v		v
جائے		v		v
۔		punc		punc
عثمان		n		n
الہاجری		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
سید		n		n
کریم		n		n
الدین		n		n
شکیل		n		n
ایڈوکیٹ		n		n
نے		psp		psp
عدالت		n		n
کو		psp		psp
تفصیلات		n		n
سے		psp		psp
آگاہ		adj		adj
کیا		v		v
NULL		unk		unk
جس		pn		pn
پر		psp		psp
عدالت		n		n
نے		psp		psp
سخت		adj		adj
نوٹ		n		n
لیتے		v		v
ہوئے		v		v
گریٹر		n		n
حیدرآباد		n		n
میونسپل		n		n
کارپوریشن		n		n
،		punc		punc
میناریٹی		n		n
ویلفیر		n		n
ڈپاٹمنٹ		n		n
،		punc		punc
وقف		n		n
بورڈ		n		n
اور		avy		avy
کمشنر		n		n
پولیس		n		n
کو		n		psp
حکم		n		n
دیا		v		v
کہ		avy		avy
وہ		pn		pn
عدالتی		adj		adj
احکام		n		n
کے		psp		psp
تحت		psp		psp
جوں		adv		psp
کا		avy		psp
توں		adv		avy
موقف		n		n
برقرار		adj		adj
